artista;luogo ;orario ;data;immagine ;biglietti;mappa;spotify*;instagram*;biografia;RockInRoma;RomeSummerFest
Mostro;Auditorium Parco della Musica - Sala Santa Cecilia;21:00;22/05/2023;..\imgs\mostro-biglietti.jpg;https://www.ticketone.it/event/mostro-auditorium-parco-della-musica-ennio-morricone-16810523/?affiliate=IGA;https://www.stay22.com/events/gm/ChIJ27JCEt1gLxMRwHQCZe1i4jI?searchterm=Auditorium+Parco+della+Musica%2C+Via+Pietro+de+Coubertin%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=05%2F22%2F2023&checkout=05%2F23%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.939415103853776&nelng=12.48223959688005&swlat=41.91936452059625&swlng=12.46743380311841&zoom=14;https://open.spotify.com/artist/5dPBeuSKtu5vLz1Et8YSVv?si=416a0d44c13d43b8;https://www.instagram.com/illmostro/;Mostro, all’anagrafe Giorgio Ferrario, inizia la sua carriera nel 2012, quando, appena ventenne, dà vita al collettivo ILL MOVEMENT. Il successo nell'underground del loro progetto di debutto lo porterà successivamente alla firma con Honiro, alla quale seguiranno l’album da solista “La nave fantasma” – nel 2014 – e l’Ep “Scusate per il sangue”, realizzato insieme a LowLow sempre nello stesso anno. A marzo 2022 firma con Sony Music/Epic Records Italy e pubblica il singolo “Da Paura”, seguito da “Bottiglie Rotte” feat. Emis Killa e Gemitaiz e da “Underrated”, brani che anticipano il nuovo progetto discografico “The Illest, Vol. III” uscito il 27 gennaio 2023.;NO;NO
gIANMARIA;Largo Venue;21:00;25/05/2023;..\imgs\gianmaria-biglietti.jpg;https://www.ticketone.it/event/gianmaria-largo-venue-16610161/;https://www.stay22.com/events/gm/ChIJlQpBei9iLxMRuxyOq1wWQeQ?searchterm=Largo+Venue%2C+Via+Biordo+Michelotti%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=05%2F25%2F2023&checkout=05%2F26%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.89814059757978&nelng=12.543431806389606&swlat=41.88810960858521&swlng=12.532488393609327&zoom=15;https://open.spotify.com/artist/3lxINiPO2Mtk6VqtUSd5t1?si=9618fdaa212e445a;https://www.instagram.com/ggianmarja/?hl=it;gIANMARIA si è distinto nel suo percorso a X Factor 2021 nelle prime fasi di selezione del programma colpendo ed emozionando i giudici con i suoi inediti “I suicidi“ e “Senza Saliva“ i quali sono contenuti in “Fallirò” l’Ep di debutto dell'artista. Classe 2002, gIANMARIA nasce e cresce nella città di Vicenza, dove fin da giovanissimo inizia a comporre e registrare brani. Cresce con il cantautorato e si appassiona da giovanissimo all’hip hop italiano e internazionale. Sempre alla ricerca di nuova ispirazione, nei suoi lavori sente forte l’influenza del punk e del pop inglese, dell’R&B americano, della musica urban francese. Al centro del suo percorso artistico ci sono le parole. Nelle canzoni si presenta crudo e reale esattamente come è fatto Gianmaria, la persona oltre all’artista.;NO;NO
gIANMARIA;Largo Venue;21:00;26/05/2023;..\imgs\gianmaria-biglietti.jpg;https://www.ticketone.it/event/gianmaria-largo-venue-16868444/;https://www.stay22.com/events/gm/ChIJlQpBei9iLxMRuxyOq1wWQeQ?searchterm=Largo+Venue%2C+Via+Biordo+Michelotti%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=05%2F26%2F2023&checkout=05%2F27%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.89797289494936&nelng=12.545266437354059&swlat=41.88827733711534&swlng=12.530653762640583&zoom=15;https://open.spotify.com/artist/3lxINiPO2Mtk6VqtUSd5t1?si=9618fdaa212e445a;https://www.instagram.com/ggianmarja/?hl=it;gIANMARIA si è distinto nel suo percorso a X Factor 2021 nelle prime fasi di selezione del programma colpendo ed emozionando i giudici con i suoi inediti “I suicidi“ e “Senza Saliva“ i quali sono contenuti in “Fallirò” l’Ep di debutto dell'artista. Classe 2002, gIANMARIA nasce e cresce nella città di Vicenza, dove fin da giovanissimo inizia a comporre e registrare brani. Cresce con il cantautorato e si appassiona da giovanissimo all’hip hop italiano e internazionale. Sempre alla ricerca di nuova ispirazione, nei suoi lavori sente forte l’influenza del punk e del pop inglese, dell’R&B americano, della musica urban francese. Al centro del suo percorso artistico ci sono le parole. Nelle canzoni si presenta crudo e reale esattamente come è fatto Gianmaria, la persona oltre all’artista.;NO;NO
Anna Oxa;Auditorium Parco della Musica Ennio Morricone;21:00;27/05/2023;..\imgs\anna-oxa-biglietti-2.jpg;https://www.ticketone.it/event/anna-oxa-auditorium-parco-della-musica-ennio-morricone-16575696/;https://www.stay22.com/events/gm/ChIJ27JCEt1gLxMRwHQCZe1i4jI?searchterm=Auditorium+Parco+della+Musica%2C+Via+Pietro+de+Coubertin%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=05%2F27%2F2023&checkout=05%2F28%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.93941510385224&nelng=12.485780112781981&swlat=41.91936452059474&swlng=12.46389328722023&zoom=14;https://open.spotify.com/artist/6iuybPv0Mii8x21mztjaUN?si=5a6463e584344757;https://www.instagram.com/annaoxa_oxarte/?hl=it;"Nel 1978 debutta, sponsorizzata da Ivano Fossati, a Sanremo cantando ""Un'emozione da poco"" vestita da punk, look creato da Ivan Cattaneo. Si classifica seconda dopo aver vinto la categoria Giovani. Nel 1982 torna al Festival di Sanremo completamente trasformata, e canta ""Io no"", scritta da Mario Lavezzi. La sua carriera da questo momento sarà scandita da un interessante cambio di look e sound ad ogni sua partecipazione sanremese. Nel 1989 vince il Festival di Sanremo in coppia con Fausto Leali con ""Ti lascerò"". Nel 1999 vince il Festival di Sanremo con Senza pietà (disco d'oro a tre giorni dall'uscita nei negozi). ";NO;NO
Zucchero;Terme di Caracalla;21:00;30/05/2023;..\imgs\zucchero-tour-biglietti.jpg;https://www.ticketone.it/event/zucchero-world-wild-tour-terme-di-caracalla-16658952/;https://www.stay22.com/events/gm/ChIJ1YU-M85hLxMR3Jhb6gZAK2o?searchterm=Terme+di+Caracalla%2C+Viale+delle+Terme+di+Caracalla%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=05%2F30%2F2023&checkout=05%2F31%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.88957053488875&nelng=12.503382812782576&swlat=41.869504289857076&swlng=12.481495987220768&zoom=14;https://open.spotify.com/artist/2KftmGt9sk1yLjsAoloC3M?si=733b17380d4b44b1;https://www.instagram.com/zuccherosugar/;"Tra i maggiori interpreti del rock blues in Italia, Zucchero (all’anagrafe Adelmo Fornaciari) nella sua carriera ha venduto oltre 60 milioni di dischi, di cui 8 milioni con l’album “Oro, incenso & birra”. Oltre a essere il primo artista occidentale a essersi esibito al Cremlino dopo la caduta del muro di Berlino, Zucchero è anche l’unico artista italiano ad aver partecipato al Festival di Woodstock nel 1994, a tutti gli eventi del 46664 per Nelson Mandela di cui è Ambasciatore e al Freddie Mercury Tribute nel 1992. Sempre nel 1992 Zucchero e Luciano Pavarotti condividono l’ideazione del gala di beneficenza Pavarotti & Friends. La prima edizione, trasmessa in diretta mondiale, dà il via a una serie di concerti di beneficenza annuali che sono continuati fino al 2003. Nel 1999 partecipa al Festival di IMST in Austria esibendosi davanti a 200.000 persone. Nel corso della sua carriera ha suonato in 5 continenti, 69 Stati, 650 città. Nel 2004 si è esibito alla Royal Albert Hall con un evento memorabile in cui ha ospitato sul palco colleghi di grande fama internazionale. Nel 2007 è stato nominato ai Grammy come best ""R&B Traditional Vocal Collaboration”. Il suo concerto nel dicembre 2012 all'Istituto Superiore di Arte di L'Avana con oltre 80.000 persone è stato definito il più grande live mai tenuto da un cantante straniero a Cuba sotto embargo. Da aprile ad ottobre 2022 Zucchero torna live con 80 concerti in tutto il mondo con il suo “World Wild Tour.";NO;NO
Zucchero;Terme di Caracalla;21:00;31/05/2023;..\imgs\zucchero-tour-biglietti.jpg;https://www.ticketone.it/event/zucchero-world-wild-tour-terme-di-caracalla-16663150/;https://www.stay22.com/events/gm/ChIJ1YU-M85hLxMR3Jhb6gZAK2o?searchterm=Terme+di+Caracalla%2C+Viale+delle+Terme+di+Caracalla%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=05%2F31%2F2023&checkout=06%2F01%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.889235084181706&nelng=12.507052074714835&swlat=41.869839844157696&swlng=12.47782672528902&zoom=14;https://open.spotify.com/artist/2KftmGt9sk1yLjsAoloC3M?si=733b17380d4b44b1;https://www.instagram.com/zuccherosugar/;"Tra i maggiori interpreti del rock blues in Italia, Zucchero (all’anagrafe Adelmo Fornaciari) nella sua carriera ha venduto oltre 60 milioni di dischi, di cui 8 milioni con l’album “Oro, incenso & birra”. Oltre a essere il primo artista occidentale a essersi esibito al Cremlino dopo la caduta del muro di Berlino, Zucchero è anche l’unico artista italiano ad aver partecipato al Festival di Woodstock nel 1994, a tutti gli eventi del 46664 per Nelson Mandela di cui è Ambasciatore e al Freddie Mercury Tribute nel 1992. Sempre nel 1992 Zucchero e Luciano Pavarotti condividono l’ideazione del gala di beneficenza Pavarotti & Friends. La prima edizione, trasmessa in diretta mondiale, dà il via a una serie di concerti di beneficenza annuali che sono continuati fino al 2003. Nel 1999 partecipa al Festival di IMST in Austria esibendosi davanti a 200.000 persone. Nel corso della sua carriera ha suonato in 5 continenti, 69 Stati, 650 città. Nel 2004 si è esibito alla Royal Albert Hall con un evento memorabile in cui ha ospitato sul palco colleghi di grande fama internazionale. Nel 2007 è stato nominato ai Grammy come best ""R&B Traditional Vocal Collaboration”. Il suo concerto nel dicembre 2012 all'Istituto Superiore di Arte di L'Avana con oltre 80.000 persone è stato definito il più grande live mai tenuto da un cantante straniero a Cuba sotto embargo. Da aprile ad ottobre 2022 Zucchero torna live con 80 concerti in tutto il mondo con il suo “World Wild Tour.";NO;NO
Zucchero;Terme di Caracalla;21:00;02/06/2023;..\imgs\zucchero-tour-biglietti.jpg;https://www.ticketone.it/event/zucchero-world-wild-tour-terme-di-caracalla-16663147/;https://www.stay22.com/events/gm/ChIJ1YU-M85hLxMR3Jhb6gZAK2o?searchterm=Terme+di+Caracalla%2C+Viale+delle+Terme+di+Caracalla%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=06%2F02%2F2023&checkout=06%2F03%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.889235084181706&nelng=12.507052074714835&swlat=41.869839844157696&swlng=12.47782672528902&zoom=14;https://open.spotify.com/artist/2KftmGt9sk1yLjsAoloC3M?si=733b17380d4b44b1;https://www.instagram.com/zuccherosugar/;"Tra i maggiori interpreti del rock blues in Italia, Zucchero (all’anagrafe Adelmo Fornaciari) nella sua carriera ha venduto oltre 60 milioni di dischi, di cui 8 milioni con l’album “Oro, incenso & birra”. Oltre a essere il primo artista occidentale a essersi esibito al Cremlino dopo la caduta del muro di Berlino, Zucchero è anche l’unico artista italiano ad aver partecipato al Festival di Woodstock nel 1994, a tutti gli eventi del 46664 per Nelson Mandela di cui è Ambasciatore e al Freddie Mercury Tribute nel 1992. Sempre nel 1992 Zucchero e Luciano Pavarotti condividono l’ideazione del gala di beneficenza Pavarotti & Friends. La prima edizione, trasmessa in diretta mondiale, dà il via a una serie di concerti di beneficenza annuali che sono continuati fino al 2003. Nel 1999 partecipa al Festival di IMST in Austria esibendosi davanti a 200.000 persone. Nel corso della sua carriera ha suonato in 5 continenti, 69 Stati, 650 città. Nel 2004 si è esibito alla Royal Albert Hall con un evento memorabile in cui ha ospitato sul palco colleghi di grande fama internazionale. Nel 2007 è stato nominato ai Grammy come best ""R&B Traditional Vocal Collaboration”. Il suo concerto nel dicembre 2012 all'Istituto Superiore di Arte di L'Avana con oltre 80.000 persone è stato definito il più grande live mai tenuto da un cantante straniero a Cuba sotto embargo. Da aprile ad ottobre 2022 Zucchero torna live con 80 concerti in tutto il mondo con il suo “World Wild Tour.";NO;NO
Zucchero;Terme di Caracalla;21:00;03/06/2023;..\imgs\zucchero-tour-biglietti.jpg;https://www.ticketone.it/event/zucchero-world-wild-tour-terme-di-caracalla-16663149/;https://www.stay22.com/events/gm/ChIJ1YU-M85hLxMR3Jhb6gZAK2o?searchterm=Terme+di+Caracalla%2C+Viale+delle+Terme+di+Caracalla%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=06%2F03%2F2023&checkout=06%2F04%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.889235084181706&nelng=12.507052074714835&swlat=41.869839844157696&swlng=12.47782672528902&zoom=14;https://open.spotify.com/artist/2KftmGt9sk1yLjsAoloC3M?si=733b17380d4b44b1;https://www.instagram.com/zuccherosugar/;"Tra i maggiori interpreti del rock blues in Italia, Zucchero (all’anagrafe Adelmo Fornaciari) nella sua carriera ha venduto oltre 60 milioni di dischi, di cui 8 milioni con l’album “Oro, incenso & birra”. Oltre a essere il primo artista occidentale a essersi esibito al Cremlino dopo la caduta del muro di Berlino, Zucchero è anche l’unico artista italiano ad aver partecipato al Festival di Woodstock nel 1994, a tutti gli eventi del 46664 per Nelson Mandela di cui è Ambasciatore e al Freddie Mercury Tribute nel 1992. Sempre nel 1992 Zucchero e Luciano Pavarotti condividono l’ideazione del gala di beneficenza Pavarotti & Friends. La prima edizione, trasmessa in diretta mondiale, dà il via a una serie di concerti di beneficenza annuali che sono continuati fino al 2003. Nel 1999 partecipa al Festival di IMST in Austria esibendosi davanti a 200.000 persone. Nel corso della sua carriera ha suonato in 5 continenti, 69 Stati, 650 città. Nel 2004 si è esibito alla Royal Albert Hall con un evento memorabile in cui ha ospitato sul palco colleghi di grande fama internazionale. Nel 2007 è stato nominato ai Grammy come best ""R&B Traditional Vocal Collaboration”. Il suo concerto nel dicembre 2012 all'Istituto Superiore di Arte di L'Avana con oltre 80.000 persone è stato definito il più grande live mai tenuto da un cantante straniero a Cuba sotto embargo. Da aprile ad ottobre 2022 Zucchero torna live con 80 concerti in tutto il mondo con il suo “World Wild Tour.";NO;NO
Zucchero;Terme di Caracalla;21:00;04/06/2023;..\imgs\zucchero-tour-biglietti.jpg;https://www.ticketone.it/event/zucchero-world-wild-tour-terme-di-caracalla-16816147/;https://www.stay22.com/events/gm/ChIJ1YU-M85hLxMR3Jhb6gZAK2o?searchterm=Terme+di+Caracalla%2C+Viale+delle+Terme+di+Caracalla%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=06%2F04%2F2023&checkout=06%2F05%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.889235084181706&nelng=12.507052074714835&swlat=41.869839844157696&swlng=12.47782672528902&zoom=14;https://open.spotify.com/artist/2KftmGt9sk1yLjsAoloC3M?si=733b17380d4b44b1;https://www.instagram.com/zuccherosugar/;"Tra i maggiori interpreti del rock blues in Italia, Zucchero (all’anagrafe Adelmo Fornaciari) nella sua carriera ha venduto oltre 60 milioni di dischi, di cui 8 milioni con l’album “Oro, incenso & birra”. Oltre a essere il primo artista occidentale a essersi esibito al Cremlino dopo la caduta del muro di Berlino, Zucchero è anche l’unico artista italiano ad aver partecipato al Festival di Woodstock nel 1994, a tutti gli eventi del 46664 per Nelson Mandela di cui è Ambasciatore e al Freddie Mercury Tribute nel 1992. Sempre nel 1992 Zucchero e Luciano Pavarotti condividono l’ideazione del gala di beneficenza Pavarotti & Friends. La prima edizione, trasmessa in diretta mondiale, dà il via a una serie di concerti di beneficenza annuali che sono continuati fino al 2003. Nel 1999 partecipa al Festival di IMST in Austria esibendosi davanti a 200.000 persone. Nel corso della sua carriera ha suonato in 5 continenti, 69 Stati, 650 città. Nel 2004 si è esibito alla Royal Albert Hall con un evento memorabile in cui ha ospitato sul palco colleghi di grande fama internazionale. Nel 2007 è stato nominato ai Grammy come best ""R&B Traditional Vocal Collaboration”. Il suo concerto nel dicembre 2012 all'Istituto Superiore di Arte di L'Avana con oltre 80.000 persone è stato definito il più grande live mai tenuto da un cantante straniero a Cuba sotto embargo. Da aprile ad ottobre 2022 Zucchero torna live con 80 concerti in tutto il mondo con il suo “World Wild Tour.";NO;NO
Venditti e De Gregori;Terme di Caracalla;21:00;05/06/2023;..\imgs\venditti-de-gregori-biglietti.jpg;https://www.ticketone.it/event/venditti-de-gregori-il-tour-terme-di-caracalla-16610390/;https://www.stay22.com/events/gm/ChIJ1YU-M85hLxMR3Jhb6gZAK2o?searchterm=Terme+di+Caracalla%2C+Viale+delle+Terme+di+Caracalla%2C+Roma%2C+RM%2C+Italia&aid=222&aidappend=&checkin=06%2F05%2F2023&checkout=06%2F06%2F2023&adults=2&children=0&infants=0&rooms=1&bedrooms=0&beds=0&bathrooms=0&minstarrating=&minguestrating=&min=0&max=1000&showhotels=false&showairbnbs=false&showothers=false&invmode=accommodation&nelat=41.889235084181706&nelng=12.507052074714835&swlat=41.869839844157696&swlng=12.47782672528902&zoom=14;https://open.spotify.com/artist/3hYLJPJuDyblFKersEaFd6?si=b3b8d2c9cb03451b;https://www.instagram.com/antonellovenditti.official/;"Antonio ""Antonello"" Venditti, nato l'8 marzo 1949, è un cantautore italiano, diventato famoso negli anni '70 per i temi sociali nelle sue canzoni. Francesco De Gregori è uno dei cantautori più originali del panorama musicale italiano. La poesia nelle sue canzoni e la melodia delle sue composizioni, ispirate da Lucio Battisti, hanno reso De Gregori uno dei migliori artisti italiani.";NO;NO
