artista;luogo ;orario ;data;immagine ;biglietti;mappa
The World Of Bansky ;Piazzale della stazione di Roma Tiburtina;10:00-19:00;15/05/2023-18/05/2023;..\imgs\banksy-immersive-experience-biglietti.jpg,..\imgs\banksy-bambina-palloncino-2.jpg;https://www.ticketone.it/artist/the-world-of-banksy/the-world-of-banksy-the-immersive-experience-roma-2925605/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.216086488673!2d12.52779751064841!3d41.9097132711184!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f63d6393607b9%3A0xaae4195722028d76!2sPiazzale%20della%20Stazione%20Tiburtina%2C%2000162%20Roma%20RM!5e0!3m2!1sit!2sit!4v1683041613748!5m2!1sit!2sit
Galleria Borghese;Museo e Galleria Borghese;9:00-19:00;15/05/2023-03/06/2023;..\imgs\galleria-borghese-biglietti.jpg;https://www.ticketone.it/artist/galleria-borghese/galleria-borghese-2253937/?affiliate=IGA;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.0069085470586!2d12.487536140540618!3d41.914210207885205!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f610456d7e6ab%3A0x1bb4a47639e07bbf!2sMuseo%20e%20Galleria%20Borghese!5e0!3m2!1sit!2sit!4v1683041697234!5m2!1sit!2sit
Domus Romane di Palazzo Valentini;Palazzo Valentini;10:00-18:00;15/05/2023-29/05/2023;..\imgs\domus-palazzo-valentini-biglietti-2.jpg;https://www.ticketone.it/artist/ingresso-palazzo-valentini/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.8515222653855!2d12.481490710647456!3d41.8960501711198!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f604d35b560af%3A0xb9795d4d7e020f01!2sLe%20Domus%20Romane%20di%20Palazzo%20Valentini!5e0!3m2!1sit!2sit!4v1683041738033!5m2!1sit!2sit
Stadio di Domiziano - Piazza Navona Underground;Stadio di Domiziano ;10:00;15/05/2023-31/12/2023;..\imgs\stadio-domiziano-biglietti-2.jpg;https://www.ticketone.it/artist/stadio-di-domiziano/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.6579250379777!2d12.469949810647783!3d41.900213271119405!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60500a1a3263%3A0x7fa83eded0ced566!2sStadio%20di%20Domiziano%20-%20Piazza%20Navona%20Underground!5e0!3m2!1sit!2sit!4v1683041772065!5m2!1sit!2sit
Museo Nazionale Etrusco di Villa Giulia;Villa Giulia Museo;9:00;15/05/2023-28/10/2023;..\imgs\museo-etrusco-biglietti.jpg;https://www.ticketone.it/artist/museo-nazionale-etrusco/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.813858730346!2d12.47513681064903!3d41.91836007111733!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60e4911d2995%3A0x4624084fca714412!2sMuseo%20Nazionale%20Etrusco%20di%20Villa%20Giulia!5e0!3m2!1sit!2sit!4v1683041874259!5m2!1sit!2sit
Ipotesi Metaverso;Palazzo Cipolla;10:00;16/05/2023-23/07/2023;..\imgs\ipotesi-metaverso-biglietti.jpg;https://www.ticketone.it/artist/ipotesi-metaverso/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.6888367277866!2d12.478303910647712!3d41.89954857111948!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f6052604fec5f%3A0x2464b713d5185a86!2sPalazzo%20Cipolla!5e0!3m2!1sit!2sit!4v1683041908409!5m2!1sit!2sit
Galleria Colonna Museo e Pinacoteca;Palazzo Colonna;10:00;22/05/2023-30/12/2023;..\imgs\galleria-colonna-biglietti.jpg;https://www.ticketone.it/artist/galleria-colonna/galleria-colonna-palazzo-colonna-1614736/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.7832016404695!2d12.482259110647593!3d41.897519371119614!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f604d4f5994a1%3A0x57bf866804482dd0!2sGalleria%20Colonna%20Museo%20e%20Pinacoteca!5e0!3m2!1sit!2sit!4v1683041976519!5m2!1sit!2sit
Musei Vaticani;Musei Vaticani;9:00-18:00;22/05/2023-31/12/2023;..\imgs\Musei-Vaticani.jpg;https://tickets.museivaticani.va/home;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.3661114566676!2d12.45106101064819!3d41.90648777111864!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f6063839bc129%3A0xcfe0eca0526416b6!2sMusei%20Vaticani!5e0!3m2!1sit!2sit!4v1683042010338!5m2!1sit!2sit
Musei Capitolini;Piazza Del Campidoglio;09:30-19:30;22/05/2023-31/12/2023;..\imgs\musei_capitolini.jpg;https://www.museicapitolini.org/it/infopage/biglietti;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.996015907318!2d12.479977410647264!3d41.89294277112013!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f604f7906ecf3%3A0xdea1467ab6c9ecfb!2sMusei%20Capitolini!5e0!3m2!1sit!2sit!4v1683042034077!5m2!1sit!2sit
Galleria Nazionale d'Arte Moderna e Contemporanea;Galleria Nazionale;9:00-18:00;22/05/2023-31/12/2023;..\imgs\gnam-biglietti.jpg;https://www.ticketone.it/eventseries/la-galleria-nazionale-2890614/?affiliate=T2C;"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.875177851809!2d12.47958871064892!3d41.917041971117506!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60fd228cccc5%3A0x2cf2aafd0eff0128!2sGalleria%20Nazionale%20d&#39;Arte%20Moderna%20e%20Contemporanea!5e0!3m2!1sit!2sit!4v1683042064461!5m2!1sit!2sit"
