artista;luogo;data;orario;immagine;biglietti;mappa
Butterfly - Il Sopravvissuto;Teatro Ghione;23/05/2023;20:30;..\imgs\butterfly-biglietti.jpg;https://www.ticketone.it/event/butterfly-il-sopravvissuto-teatro-ghione-16407225/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.72364967979!2d12.45382507656015!3d41.89879997123952!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f6068d8cb27e5%3A0xe6e7fcc3bf5bee2f!2sTeatro%20Ghione!5e0!3m2!1sit!2sit!4v1683041601163!5m2!1sit!2sit
Dario Cassini - Sballando con le stelle;Teatro Brancaccio;23/05/2023;21:00;..\imgs\dario-cassini-biglietti.jpg;https://www.ticketone.it/event/dario-cassini-sballando-con-le-stelle-teatro-brancaccio-16911076/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.9673308376605!2d12.49827267655988!3d41.89355967124001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61bb81d8068f%3A0xf9cf3af0704e5ba!2sTeatro%20Brancaccio!5e0!3m2!1sit!2sit!4v1683041655574!5m2!1sit!2sit
Tesei in telepathy;Teatro Olimpico;25/05/2023;20:30;..\imgs\francesco-tesei-biglietti.jpg;https://www.ticketone.it/event/tesei-in-telepathy-teatro-olimpico-16690709/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.45262506773!2d12.459595876561304!3d41.9261243712365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60eb37208047%3A0xde4e29b272c35741!2sTeatro%20Olimpico!5e0!3m2!1sit!2sit!4v1683041849960!5m2!1sit!2sit
Andrea Bocelli;Terme di Caracalla;10/06/2023;21:00;..\imgs\andrea-bocelli-biglietti.jpg;https://www.ticketone.it/artist/andrea-bocelli/andrea-bocelli-rome-2023-2646864/?affiliate=IGA;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2970.6424707433694!2d12.489864476559267!3d41.879038171241675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61ce333e85d5%3A0x6a2b4006ea5b98dc!2sTerme%20di%20Caracalla!5e0!3m2!1sit!2sit!4v1683041762204!5m2!1sit!2sit
Madama Butterfly;Teatro dell'Opera;16/06/2023-25/06/2023;20:00;..\imgs\madama-butterfly-opera-roma-biglietti.jpg;https://www.ticketone.it/artist/teatro-opera-roma/madama-butterfly-teatro-dellopera-di-roma-3031223/?affiliate=ITT;"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.638132412131!2d12.493083376560266!3d41.900638871239295!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61babfb5df5f%3A0xa1cdde2b5715bcc7!2sTeatro%20dell&#39;Opera!5e0!3m2!1sit!2sit!4v1683041969263!5m2!1sit!2sit"
Roberto Bolle and Friends;Terme di Caracalla;11/07/2023;21:00;..\imgs\roberto-bolle-friends-biglietti.jpg;https://www.ticketone.it/event/roberto-bolle-and-friends-terme-di-caracalla-16822831/?affiliate=IGA;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2970.6424707433694!2d12.489864476559267!3d41.879038171241675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61ce333e85d5%3A0x6a2b4006ea5b98dc!2sTerme%20di%20Caracalla!5e0!3m2!1sit!2sit!4v1683041762204!5m2!1sit!2sit
Roberto Bolle and Friends;Terme di Caracalla;12/07/2023;21:00;..\imgs\roberto-bolle-friends-biglietti.jpg;https://www.ticketone.it/event/roberto-bolle-and-friends-terme-di-caracalla-16822832/?affiliate=IGA;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2970.6424707433694!2d12.489864476559267!3d41.879038171241675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61ce333e85d5%3A0x6a2b4006ea5b98dc!2sTerme%20di%20Caracalla!5e0!3m2!1sit!2sit!4v1683041762204!5m2!1sit!2sit
Roberto Bolle and Friends;Terme di Caracalla;13/07/2023;21:00;..\imgs\roberto-bolle-friends-biglietti.jpg;https://www.ticketone.it/event/roberto-bolle-and-friends-terme-di-caracalla-16822833/?affiliate=IGA;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2970.6424707433694!2d12.489864476559267!3d41.879038171241675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61ce333e85d5%3A0x6a2b4006ea5b98dc!2sTerme%20di%20Caracalla!5e0!3m2!1sit!2sit!4v1683041762204!5m2!1sit!2sit
La Traviata;Terme di Caracalla;21/07/2023-09/08/2023;21:00;..\imgs\caracalla-festival-biglietti.jpg;https://www.ticketone.it/artist/terme-caracalla/la-traviata-teatro-dellopera-di-roma-2398900/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2970.6424707433694!2d12.489864476559267!3d41.879038171241675!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61ce333e85d5%3A0x6a2b4006ea5b98dc!2sTerme%20di%20Caracalla!5e0!3m2!1sit!2sit!4v1683041762204!5m2!1sit!2sit
Pink Floyd Legend - Shine Pink Floyd Moon;Auditorium Parco della Musica;21/07/2023;21:00;..\imgs\pink-floyd-legend-shine-biglietti.jpg;https://www.ticketone.it/event/pink-floyd-legend-shine-pink-floyd-moon-auditorium-parco-della-musica-ennio-morricone-16794636/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
Checco Zalone;Auditorium Parco della Musica;30/09/2023;21:00;..\imgs\checco-zalone-biglietti-2.jpg;https://www.ticketone.it/artist/checco-zalone/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
Checco Zalone;Auditorium Parco della Musica;01/09/2023;21:00;..\imgs\checco-zalone-biglietti-2.jpg;https://www.ticketone.it/artist/checco-zalone/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
Checco Zalone;Auditorium Parco della Musica;02/09/2023;21:00;..\imgs\checco-zalone-biglietti-2.jpg;https://www.ticketone.it/artist/checco-zalone/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
Checco Zalone;Auditorium Parco della Musica;03/09/2023;21:00;..\imgs\checco-zalone-biglietti-2.jpg;https://www.ticketone.it/artist/checco-zalone/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
Stefano Massini e Luca Barbarossa;Auditorium Parco della Musica;31/08/2023;21:00;..\imgs\massini-barbarossa-biglietti.jpg;https://www.ticketone.it/event/stefano-massini-e-luca-barbarossa-auditorium-parco-della-musica-ennio-morricone-16919692/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
Pio e Amedeo;Teatro Brancaccio;01/10/2023;21:00;..\imgs\pio-amedeo-biglietti.jpg;https://www.ticketone.it/artist/pio-amedeo/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.9673308376605!2d12.49827267655988!3d41.89355967124001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61bb81d8068f%3A0xf9cf3af0704e5ba!2sTeatro%20Brancaccio!5e0!3m2!1sit!2sit!4v1683041655574!5m2!1sit!2sit
Pio e Amedeo;Teatro Brancaccio;02/10/2023;21:00;..\imgs\pio-amedeo-biglietti.jpg;https://www.ticketone.it/artist/pio-amedeo/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.9673308376605!2d12.49827267655988!3d41.89355967124001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61bb81d8068f%3A0xf9cf3af0704e5ba!2sTeatro%20Brancaccio!5e0!3m2!1sit!2sit!4v1683041655574!5m2!1sit!2sit
Andrea Pucci;Teatro Brancaccio;05/10/2023;21:00;..\imgs\pucci-non-va-biglietti.jpg;https://www.ticketone.it/artist/andrea-pucci/andrea-pucci-ce-sempre-qualcosa-che-non-va-2964385/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.9673308376605!2d12.49827267655988!3d41.89355967124001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61bb81d8068f%3A0xf9cf3af0704e5ba!2sTeatro%20Brancaccio!5e0!3m2!1sit!2sit!4v1683041655574!5m2!1sit!2sit
Andrea Pucci;Teatro Brancaccio;06/10/2023;21:00;..\imgs\pucci-non-va-biglietti.jpg;https://www.ticketone.it/artist/andrea-pucci/andrea-pucci-ce-sempre-qualcosa-che-non-va-2964385/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.9673308376605!2d12.49827267655988!3d41.89355967124001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61bb81d8068f%3A0xf9cf3af0704e5ba!2sTeatro%20Brancaccio!5e0!3m2!1sit!2sit!4v1683041655574!5m2!1sit!2sit
